,A_NumHAcceptors,A_PEOE_VSA7,B_Chi1v,B_Kappa1,B_NumHDonors,C_Kappa1,C_Kappa3,C_NOCount,C_NumHeteroatoms,C_PEOE_VSA1,C_PEOE_VSA10,D_Chi4n,E_EState_VSA3,SLME
0,3,58.691,11.5978452,20.98685842,2,26.04493897,5.392962863,6,7,22.20685262,11.03340144,2.708202071,10.96924436,1
1,3,58.691,11.5978452,20.98685842,2,26.04493897,5.392962863,6,7,22.20685262,11.03340144,2.708202071,10.96924436,1
2,3,58.691,11.5978452,20.98685842,2,26.04493897,5.392962863,6,7,22.20685262,11.03340144,2.708202071,10.96924436,0
3,3,58.691,11.5978452,20.98685842,2,26.04493897,5.392962863,6,7,22.20685262,11.03340144,2.708202071,10.96924436,0
4,3,58.691,11.5978452,20.98685842,2,21.20352014,3.010061728,8,8,9.967957042,22.58870888,4.616233796,23.25963712,0
5,3,58.691,11.5978452,20.98685842,2,21.20352014,3.010061728,8,8,9.967957042,22.58870888,4.616233796,23.25963712,1
6,3,58.691,11.5978452,20.98685842,2,21.20352014,3.010061728,8,8,9.967957042,22.58870888,4.616233796,23.25963712,1
7,3,58.691,11.5978452,20.98685842,2,21.20352014,3.010061728,8,8,9.967957042,22.58870888,4.616233796,23.25963712,0
8,6,56.31204388,12.36167602,26.04493897,0,25.67617945,6.065172544,8,10,47.74873623,11.37477255,5.59078743,11.37477255,0
9,6,56.31204388,12.36167602,26.04493897,0,25.67617945,6.065172544,8,10,47.74873623,11.37477255,5.59078743,11.37477255,1
10,6,56.31204388,12.36167602,26.04493897,0,25.67617945,6.065172544,8,10,47.74873623,11.37477255,5.59078743,11.37477255,0
11,6,56.31204388,12.36167602,26.04493897,0,25.67617945,6.065172544,8,10,47.74873623,11.37477255,5.59078743,11.37477255,0
12,5,62.37841095,3.944803917,8.496118022,1,25.31555439,4.529346341,5,6,26.83062122,24.43278037,5.932757311,11.37477255,1
13,5,62.37841095,3.944803917,8.496118022,1,25.31555439,4.529346341,5,6,26.83062122,24.43278037,5.932757311,11.37477255,0
14,5,62.37841095,3.944803917,8.496118022,1,25.31555439,4.529346341,5,6,26.83062122,24.43278037,5.932757311,11.37477255,0
15,5,62.37841095,3.944803917,8.496118022,1,25.31555439,4.529346341,5,6,26.83062122,24.43278037,5.932757311,11.37477255,1
16,3,58.691,12.36167602,26.04493897,0,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
17,3,58.691,12.36167602,26.04493897,0,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
18,3,58.691,12.36167602,26.04493897,0,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,1
19,3,58.691,12.36167602,26.04493897,0,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
20,6,61.27783298,3.944803917,8.496118022,1,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
21,6,61.27783298,3.944803917,8.496118022,1,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,1
22,6,61.27783298,3.944803917,8.496118022,1,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
23,6,61.27783298,3.944803917,8.496118022,1,57.60701632,12.13333829,22,30,49.36511515,74.7210762,1.670734096,36.08756015,0
24,6,56.31204388,9.096562678,25.67617945,6,8.496118022,1.264784439,4,4,9.523678332,11.14647163,1.670734096,36.08756015,1
25,6,56.31204388,9.096562678,25.67617945,6,8.496118022,1.264784439,4,4,9.523678332,11.14647163,1.670734096,36.08756015,1
26,6,56.31204388,9.096562678,25.67617945,6,8.496118022,1.264784439,4,4,9.523678332,11.14647163,1.670734096,36.08756015,1
27,6,56.31204388,9.096562678,25.67617945,6,8.496118022,1.264784439,4,4,9.523678332,11.14647163,1.670734096,36.08756015,1
28,3,58.691,11.5978452,20.98685842,2,8.496118022,1.264784439,4,4,9.523678332,11.14647163,4.616233796,23.25963712,1
29,3,58.691,11.5978452,20.98685842,2,8.496118022,1.264784439,4,4,9.523678332,11.14647163,4.616233796,23.25963712,1
30,3,58.691,11.5978452,20.98685842,2,8.496118022,1.264784439,4,4,9.523678332,11.14647163,4.616233796,23.25963712,1
31,3,58.691,11.5978452,20.98685842,2,8.496118022,1.264784439,4,4,9.523678332,11.14647163,4.616233796,23.25963712,1
